trials,first_sample,presented_point,time_between_samples_mean,time_between_samples_std,sampling_rate_mean,sampling_rate_std,last_time_sample,horizontal_errors_pxs_mean,horizontal_errors_pxs_std,vertical_errors_pxs_mean,vertical_errors_pxs_std,total_errors_pxs_mean,total_errors_pxs_std,metadata
1.0,300,"(960.0, 536.0)",50.55555555555556,11.991766722872924,21.05307124358937,5.699556870088024,910,78.35714285714286,51.35257281474686,32.285714285714285,27.434151218166463,91.67122767221251,46.56516496800965,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
1.0,300,"(541.0, 941.0)",47.78947368421053,11.029047519921015,22.23500864368529,5.9782034964068,908,171.69230769230768,120.22503554417288,136.6153846153846,158.45530234181714,232.42778667897724,183.52514221671555,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
1.0,300,"(541.0, 536.0)",41.09090909090909,11.41732770401316,25.88279209637349,5.730390807697587,904,95.05882352941177,51.31731801280813,40.470588235294116,36.696077121738334,109.5323851879718,51.543905964649184,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
1.0,300,"(960.0, 131.0)",45.45,13.384599358964765,24.02866053461238,7.159941790111181,909,53.92307692307692,39.73462264431853,35.07692307692308,36.003122809987,74.83055043895136,37.59710849463564,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
1.0,300,"(1379.0, 941.0)",47.78947368421053,8.672879369914986,21.794877100506117,4.870540552328686,908,50.84615384615385,29.59169881999434,133.53846153846155,115.29868595195923,150.61772749180193,109.0944905002676,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
1.0,300,"(541.0, 131.0)",44.095238095238095,13.11089972541844,24.506139401944534,6.2909722490427695,926,159.6,188.09139622357353,119.06666666666666,184.89437224774824,207.44530604740706,257.2543067321341,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
1.0,300,"(1379.0, 131.0)",45.25,12.316147936753602,23.787857569591317,6.378851671659939,905,94.76923076923077,62.29230579250335,77.15384615384616,55.22519791913018,138.40610390977415,52.03678817522965,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
1.0,300,"(1379.0, 536.0)",47.68421052631579,14.168358488952352,22.85973203158946,6.58022397700018,906,134.42857142857142,24.40056874546249,259.7857142857143,43.00029662925689,293.801800121695,41.043558250023246,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
1.0,300,"(960.0, 941.0)",47.78947368421053,12.75922348473911,22.606887139383417,6.629669966076733,908,101.85714285714286,79.9203685309474,96.07142857142857,80.56715414193685,148.3696919829106,102.31990555275547,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
2.0,300,"(960.0, 536.0)",43.76190476190476,12.708844921117926,24.577662927413165,6.288271738998976,919,163.85714285714286,90.99439318901321,81.0,30.44667469527666,186.09661155453657,89.35991285281555,"{""name-id"":""prueba_a_conciencia"",""webcam-id"":""3"",""computer-id"":""3"",""web-browser"":""Chrome"",""operating-system"":""Ubuntu""}"
